tailnum,age,manufacturer,engine,seats,size_cat
N102AA,10,AVIAT AIRCRAFT INC,Reciprocating,2,small
N103AA,10,AVIAT AIRCRAFT INC,Reciprocating,2,small
N103SY,3,EMBRAER S A,Turbo-fan,88,small
N10575,15,EMBRAER,Turbo-fan,55,small
N105AA,39,CESSNA,Reciprocating,4,small
N105SY,3,EMBRAER S A,Turbo-fan,88,small
N106SY,3,EMBRAER S A,Turbo-fan,88,small
N107SY,3,EMBRAER S A,Turbo-fan,88,small
N108AA,40,COURTNEY GERALD L,2 Cycle,2,small
N108SY,3,EMBRAER S A,Turbo-fan,88,small
N109AA,10,AVIAT AIRCRAFT INC,Reciprocating,2,small
N109SY,3,EMBRAER S A,Turbo-fan,88,small
N110AA,10,BIGELOW MICHAEL A,4 Cycle,2,small
N110SY,3,EMBRAER S A,Turbo-fan,88,small
N11107,15,EMBRAER,Turbo-fan,55,small
N11109,15,EMBRAER,Turbo-fan,55,small
N11164,13,EMBRAER,Turbo-fan,55,small
N11165,13,EMBRAER,Turbo-fan,55,small
N11181,12,EMBRAER,Turbo-fan,55,small
N11184,12,EMBRAER,Turbo-fan,55,small
N11189,12,EMBRAER,Turbo-fan,55,small
N11192,12,EMBRAER,Turbo-fan,55,small
N11193,12,EMBRAER,Turbo-fan,55,small
N11194,12,EMBRAER,Turbo-fan,55,small
N111AA,NA,BEECH,Turbo-prop,10,small
N11206,17,BOEING,Turbo-fan,149,medium
N112AA,53,AERO COMMANDER,Reciprocating,7,small
N113SY,3,EMBRAER S A,Turbo-fan,88,small
N114AA,47,BEECH,Reciprocating,6,small
N114SY,3,EMBRAER,Turbo-fan,88,small
N11535,16,EMBRAER,Turbo-fan,55,small
N11536,16,EMBRAER,Turbo-fan,55,small
N11539,16,EMBRAER,Turbo-fan,55,small
N11544,15,EMBRAER,Turbo-fan,55,small
N11547,15,EMBRAER,Turbo-fan,55,small
N11548,15,EMBRAER,Turbo-fan,55,small
